Title,Type,ID,URL,Owners,Sharing Status
Example Data II For Surface Water and Ocean Topography Hydrology Community Discharge (SWOT SHCQ)1.1,CompositeResource,465672b67a6d467384eba0724ca979ea,http://www.hydroshare.org/resource/465672b67a6d467384eba0724ca979ea/,Steve Coss,Public&Shareable
Example Data For Surface Water and Ocean Topography Hydrology Community Discharge (SWOT SHCQ)V2.1,CompositeResource,cbf1587a7f1f4beb9693a3d1973385da,http://www.hydroshare.org/resource/cbf1587a7f1f4beb9693a3d1973385da/,Steve Coss,Private&Shareable
